batch_number,global_electric_energy_lhv_consumption,process_energy_gas_lhv_consumption,process_energy_heatpump_lhv_consumption,process_energy_cogeneration_lhv_consumption,global_thermal_energy_lhv_consumption,created_at,updated_at,deleted_at
C23C1331,48.6317574181707,309.3285408,236.3551545,0.0,545.6836953,,,
C23C1332,46.416901559156216,45.24763069,184.1638643,0.0,229.411495,,,
C23C1333,44.52296783173523,478.3153418,235.1500155,0.0,713.4653573,,,
C23C1334,46.60338887190461,265.1258025,183.3154998,0.0,448.4413024,,,
C23C1335,48.26653426318981,350.4501213,214.4936325,0.0,564.9437538,,,
C23C1336,51.873098217078514,246.4316547,197.9355646,0.0,444.3672193,,,
C23C1337,48.80054307116105,316.25,209.5755306,0.0,525.8255306,,,
C23C1338,51.30676287051482,273.4918877,205.3541342,0.0,478.8460218,,,
C23C1339,52.78748271527341,309.7193589,221.8730358,0.0,531.5923947,,,
C23C1340,51.66534055727554,253.526935,206.4396285,0.0,459.9665635,,,
C23C1341,45.614105411323116,244.4892086,196.1714107,0.0,440.6606193,,,
C23C1342,45.37763565891473,289.832093,230.1643411,0.0,519.9964341,,,
